SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
74,Simlabs Software LLP,AR/VR,Enterprise Solutions,AR/VR > Enterprise Solutions > Application ,"#58,3rd floor, Bali Complex, 8th cross, Kaggadasapura",Bangalore,560093,,,31-Oct-12,9.0,,,3,,,3,,,,,,,1.5
75,Biznustek Systems Pvt Ltd,Water Management,Enterprise Solutions,Waste Water Management > Manufacturing Plants,"#25, 3rd Floor, JP Arcade, 8th Main Road, Binny Layout, 1st Stage,, Vijayanagar",Bangalore,560040,1,5,17-Sep-14,7.1,,,3,,,3,,,,,,,1.9
76,Hobvision Technologies Pvt Ltd,IIOT,Enterprise Solutions,IIOT > Enterprise Solution," #185, 3rd Floor, LEELDAS Towers, 1st Main, Chord Rd, Mahalakshmipuram Layout, Mahalakshmi Layout",Bangalore,560086,,,25-Feb-11,10.6,,,2,,,4,,,,,,,1.7
77,Meclink B2b Services And Trading Pvt Ltd,Enterprise Solutions,"B2B/Enterprise, B2B eCommerce",Enterprise Solutions > B2B Business,"Belthur, Kadugodi,",Bangalore,560067,2,20,25-Jan-17,4.7,,,1,,,2,,,,,,,2.9
78,Agiledge Process Solutions Pvt Ltd,IoT Platform,Enterprise Solutions,IOT platform > Transportaion management,"#6, 1st ﬂoor, MLA Layout, RT Nagar",Bangalore,560032,1,18,7-Jan-11,10.8,4,,2,,,3,,,,,,,3.7
79,Tensor Labs Pvt Ltd,AR/VR,Analytics,AR/VR> Analytics,"#48 , BTM Residency P-II
Akshayanagar",Bangalore,560068,1,19,23-Feb-18,3.6,,,2,,,3,,,,,,,2.8
80,Pioctave Solutions Pvt Ltd (Piocative),IoT Platform,"ADAS, Embedded, and IOT",IOT Platform > Home Devices,"1217 4th cross 1st block, HAL 3rd Stage, Hal,
New Tippasandra",Bangalore,560075,1,19,26-Nov-15,5.9,9,,2,,,3,,,,,,,3.7
81,DeepSight AI Labs Pvt Ltd,Surveillance,AI,Surveillance > AI > CCTV," No 84, 3rd Cross Rd, 4th Block, Banashankari 3rd Stage, Banashankari",Bangalore,560085,,14,27-Feb-18,3.6,4,,3,4,"Recognized as ""Startup India"" by Department of Industrial Policy and Promotion, Govt. of India.,DeepSight AI Labs has been selected by NVIDIA for the Inception Program., Winners of the Create@Alibaba Cloud Startup Contest.,Article published by YourStory about DeepSight AI Labs winning the Alibaba Cloud contest.",3,Paid Customers,,,,,,2.9
82,Instoried Research Labs Pvt Ltd,AI,chatbot,AI > Chatbot > Emotion,"No 103/13, 1st Flr, 2nd Mn Puttenahalli Above Lakshmi Kindergarden",Bangalore,560078,1,9,17-Nov-17,3.9,,,2,5,"Best Product and innovation, Economic Times Innotribe Awards, Startup of the Year, 2018, Startup Masterclass by IIT Kanpur and Fundtonic, Best Woman driven startup, Electrifi Awards by JSS, Indian Angel Network and TIE, Best Woman driven startup, Womennovator Awards, Best AI Startup, Disrupt 4.0 Awards",3,,,,,,,2.2
83,Matelabs Innovations Pvt Ltd,Data Management,AI,Data Management > AI/ML Platform,"4th Floor, Salarpuria Tower -1, No. 22, Industrial Layout Landmark: Forum Mall, Hosur Rd, 7th Block, Koramangala",Bangalore,560095,1,7,30-Jun-16,5.3,13,,2,2,Coverage in media,3,,0.55,17-Sep-18,,,,2.9
